"id","nj","d","d_nj","bk","kfc","roys","wendys","co_owned","centralj","southj","pa1","pa2","fte","ft","pt","mgrs","wage","meal","hrsopen","bonus","ncalls","status","type","inctime","firstinc","nregs"
38,0,0,0,0,0,0,1,1,0,0,1,0,38,30,10,3,4.67,2.56,12,1,0,1,1,26,0.07,2
39,0,0,0,0,0,0,1,1,0,0,1,0,23.5,8,25,3,4.75,2.65,12,0,2,1,1,26,0.15,2
40,0,0,0,0,0,0,1,0,0,0,1,0,10.5,0,15,3,4.25,2.61,10.5,0,3,1,1,26,0.1,2
41,0,0,0,0,0,0,1,0,0,0,1,0,25,10,20,5,4.25,2.54,11.5,0,0,1,1,4,0.1,2
42,0,0,0,0,1,0,0,1,0,0,0,1,11,2,12,3,4.75,4.02,10,0,0,1,1,52,0.12,4
43,0,0,0,1,0,0,0,0,0,0,1,0,36.5,20,25,4,4.25,2.5,15,0,0,1,1,13,0.15,3
44,0,0,0,1,0,0,0,0,0,0,1,0,52.5,20,55,5,4.5,2.47,16,0,0,1,1,17,0.15,4
45,0,0,0,1,0,0,0,0,0,0,1,0,29,10,30,4,4.25,2.48,16,0,0,1,2,13,0.15,3
46,0,0,0,1,0,0,0,0,0,0,1,0,45,15,50,5,4.25,NA,16,0,2,1,1,6,0.25,3
47,0,0,0,1,0,0,0,0,0,0,1,0,22.75,1,37.5,3,4.25,2.49,15.5,1,1,1,1,4,0.17,3
48,0,0,0,0,1,0,0,0,0,0,1,0,7.5,0,9,3,4.25,4.28,8,0,2,1,1,52,0.07,2
49,0,0,0,0,0,0,1,0,0,0,1,0,15.5,0,25,3,4.25,3.69,11.5,0,2,1,1,19,0.15,2
50,0,0,0,0,0,0,1,0,0,0,1,0,38,30,10,3,4.25,2.5,11.5,1,2,1,1,4,0.25,2
51,0,0,0,0,0,0,1,0,0,0,1,0,17.5,4,19,4,4.25,3.48,11.5,0,0,1,1,4,0.25,2
52,0,0,0,0,0,0,1,0,0,0,1,0,25,12,20,3,4.25,2.53,12.5,0,2,1,1,19,0.37,2
53,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,3,4.5,2.81,18,0,2,1,1,4,0.25,NA
54,0,0,0,1,0,0,0,0,0,0,0,1,21,8,18,4,4.75,2.72,18,1,0,1,1,4,0.25,3
55,0,0,0,1,0,0,0,0,0,0,0,1,15.5,0,25,3,4.87,NA,18,0,2,1,1,3.5,NA,4
56,0,0,0,1,0,0,0,0,0,0,0,1,15.5,2,21,3,4.75,2.63,16.5,0,0,1,1,13,0.15,3
57,0,0,0,0,1,0,0,1,0,0,0,1,8.5,1,9,3,4.5,4.2,10,0,0,1,1,4,0.15,4
58,0,0,0,0,0,1,0,1,0,0,0,1,18,5,20,3,4.25,2.89,16,0,0,1,2,13,0.37,5
59,0,0,0,0,0,0,1,0,0,0,0,1,20.75,8,17.5,4,4.75,2.68,11.5,1,2,1,1,17,0.3,2
60,0,0,0,1,0,0,0,0,0,0,0,1,39,25,20,4,4.25,2.72,18,0,2,1,1,26,NA,2
61,0,0,0,1,0,0,0,0,0,0,0,1,41.5,37.5,2,3,4.25,2.93,16.5,0,2,1,1,52,NA,3
62,0,0,0,1,0,0,0,0,0,0,0,1,22.5,5,27,4,4.75,2.72,17,1,0,1,1,26,0.5,3
63,0,0,0,1,0,0,0,0,0,0,0,1,32,25,8,3,4.5,2.81,15,0,1,1,1,NA,NA,3
64,0,0,0,1,0,0,0,0,0,0,1,0,24,6,30,3,4.25,2.65,18,0,2,1,1,52,0.12,3
65,0,0,0,1,0,0,0,0,0,0,0,1,26,8,28,4,4.25,2.74,16.5,1,1,1,1,39,0.12,3
66,0,0,0,1,0,0,0,0,0,0,1,0,48.5,32,25,4,4.5,2.74,19,0,0,1,2,13,0.22,3
67,0,0,0,0,1,0,0,1,0,0,0,1,8.5,1,9,3,4.5,4.02,10,0,2,1,1,26,0.37,4
68,0,0,0,0,0,1,0,0,0,0,0,1,18.5,4,25,2,4.5,2.91,13,0,0,3,2,13,0.37,3
69,0,0,0,0,0,1,0,1,0,0,0,1,13,2,16,3,4.5,3.1,12.5,0,0,1,1,13,0.25,2
70,0,0,0,0,0,0,1,1,0,0,0,1,22.5,12,15,3,4.5,2.59,12,1,0,1,1,13,0.15,2
71,0,0,0,0,0,0,1,1,0,0,0,1,28,20,10,3,4.75,2.6,12,1,2,1,1,26,0.1,2
72,0,0,0,1,0,0,0,0,0,0,0,1,24.5,14,15,3,4.25,2.62,16.5,1,0,1,1,4,0.37,3
73,0,0,0,1,0,0,0,0,0,0,0,1,18.5,7.5,14,4,4.75,2.72,16.5,0,2,1,1,NA,0.12,3
74,0,0,0,0,0,1,0,1,0,0,0,1,23.5,7,25,4,4.25,3.01,16,0,0,1,1,26,0.25,3
75,0,0,0,0,0,1,0,1,0,0,0,1,15,4,16,3,4.75,2.97,16.5,0,0,1,1,9,0.15,4
76,0,0,0,0,0,1,0,0,0,0,0,1,18,5,20,3,4.5,2.78,16,0,0,1,1,26,0.25,5
77,0,0,0,0,0,1,0,1,0,0,0,1,20.25,6,22.5,3,4.75,3.01,16,0,2,1,1,13,0.12,4
78,0,0,0,1,0,0,0,0,0,0,1,0,15.5,2.5,20,3,4.25,NA,16.5,1,0,1,1,13,NA,4
79,0,0,0,1,0,0,0,0,0,0,1,0,21,2,30,4,4.35,2.81,16,0,2,1,1,26,0.2,3
80,1,0,0,1,0,0,0,0,1,0,0,0,15,0,22,4,NA,3.01,16,1,0,1,1,NA,NA,4
81,1,0,0,1,0,0,0,0,1,0,0,0,15,0,20,5,NA,3.02,14.5,0,0,1,1,13,NA,2
82,1,0,0,0,0,1,0,0,1,0,0,0,24,10,20,4,NA,NA,12.5,0,0,1,1,26,NA,5
83,1,0,0,0,0,1,0,1,0,0,0,0,19.25,4.5,25.5,2,NA,3.25,11.5,1,0,1,1,NA,NA,6
84,1,0,0,1,0,0,0,0,0,0,0,0,21.5,0,25,9,NA,2.84,17,0,0,1,1,52,0.15,4
85,1,0,0,0,1,0,0,0,0,0,0,0,9.5,0,13,3,NA,4.04,11,0,0,1,1,NA,NA,3
86,1,0,0,0,0,0,1,0,0,0,0,0,44,30,20,4,NA,3.07,12,0,0,1,1,NA,NA,NA
87,1,0,0,1,0,0,0,0,0,0,0,0,NA,NA,10,3,NA,2.99,16,0,1,1,1,26,NA,2
88,1,0,0,1,0,0,0,0,0,0,0,0,21,0,34,4,NA,3.26,17,0,3,1,1,17,NA,4
89,1,0,0,0,0,0,1,0,0,1,0,0,28,20,10,3,NA,2.98,16,0,0,1,1,16,NA,2
90,1,0,0,0,0,0,1,0,0,1,0,0,10,0,14,3,NA,2.65,14,1,2,1,1,52,0.27,2
91,1,0,0,1,0,0,0,0,0,0,0,0,20.5,0,35,3,NA,2.96,16,0,3,1,1,26,0.2,3
92,1,0,0,0,0,1,0,1,0,0,0,0,25.5,15,15,3,NA,NA,17,0,0,1,1,17,NA,4
93,1,0,0,0,0,0,1,0,0,0,0,0,19,0,30,4,NA,2.88,11.5,1,2,1,1,26,0.32,2
94,1,0,0,1,0,0,0,0,0,1,0,0,16.5,5,19,2,NA,2.73,16,1,0,1,1,4,0.25,3
95,1,0,0,1,0,0,0,1,0,1,0,0,17,9,10,3,NA,2.9,17,0,0,1,1,13,0.17,5
96,1,0,0,1,0,0,0,1,0,0,0,0,27.5,0,45,5,NA,3.15,19,1,2,1,1,26,0.15,4
97,1,0,0,0,0,1,0,1,1,0,0,0,5,2,2,2,5,4.72,7,0,2,1,1,13,0.25,4
98,1,0,0,0,1,0,0,0,1,0,0,0,16,10,8,2,5.12,4.4,11,0,0,1,1,6,0.25,6
99,1,0,0,1,0,0,0,0,0,0,0,0,41.5,30,15,4,5.56,2.95,16,1,3,1,1,6,NA,4
100,1,0,0,0,1,0,0,1,1,0,0,0,13,4,10,4,5,4.25,10,0,2,1,1,NA,0.37,4
101,1,0,0,0,1,0,0,0,0,0,0,0,10,6,4,2,5,4.65,10,0,4,1,1,13,0.37,2
102,1,0,0,0,1,0,0,0,1,0,0,0,15,4,16,3,5.25,4.65,11,0,2,1,1,13,0.15,4
103,1,0,0,0,0,1,0,0,0,0,0,0,26,12,20,4,5,3.04,17,0,0,1,1,26,0.25,5
104,1,0,0,0,0,0,1,0,1,0,0,0,18,8,12,4,5.5,4.5,13,1,0,1,1,30,0.17,2
105,1,0,0,0,0,1,0,0,0,0,0,0,35,6,50,4,5,3.42,19,0,0,1,1,4,0.15,6
106,1,0,0,0,0,1,0,1,0,0,0,0,21,13,10,3,5,3.16,17,0,0,1,1,26,0.15,4
107,1,0,0,0,0,0,1,0,0,0,0,0,34.5,25,13,3,5,3.1,12,0,4,1,2,26,0.1,2
108,1,0,0,0,0,0,1,0,0,0,0,0,18.25,8,14.5,3,5,3.15,13.5,1,6,1,1,13,0.37,2
109,1,0,0,0,0,0,1,0,0,0,0,0,24.5,12.5,20,2,5,4.17,13.5,0,2,1,1,13,0.25,2
110,1,0,0,1,0,0,0,0,1,0,0,0,20,7,20,3,5.5,3.16,12.5,0,3,1,1,26,0.52,5
111,1,0,0,1,0,0,0,1,1,0,0,0,16,10,6,3,5,3.08,16,0,2,1,1,13,0.17,3
112,1,0,0,0,1,0,0,0,1,0,0,0,17.5,0,25,5,5,4.42,10,0,2,1,1,26,0.25,NA
113,1,0,0,0,0,0,1,0,0,0,0,0,20.5,12.5,10,3,5,2.71,11.5,0,2,1,1,26,0.27,2
114,1,0,0,0,0,0,1,0,0,0,0,0,20,4,26,3,5,3.1,14,0,0,1,2,13,0.2,2
115,1,0,0,0,1,0,0,1,1,0,0,0,12.25,6.5,7.5,2,5,4.25,11,0,3,1,1,NA,0.15,4
116,1,0,0,0,0,1,0,0,1,0,0,0,33,20,20,3,5.25,2.84,16,0,3,1,1,26,0.05,6
117,1,0,0,0,0,1,0,0,1,0,0,0,31.5,15,25,4,5.5,3.18,17,1,2,1,2,4,0.37,5
118,1,0,0,0,0,0,1,0,1,0,0,0,NA,NA,NA,2,5.5,2.96,12.5,0,0,1,1,NA,NA,2
119,1,0,0,0,0,0,1,0,1,0,0,0,18,0,30,3,5.37,2.96,11.5,1,3,4,2,26,0.25,2
120,1,0,0,0,0,0,1,0,1,0,0,0,28,10,30,3,5.05,2.82,12.5,1,2,1,1,26,0.15,2
121,1,0,0,1,0,0,0,0,0,0,0,0,16.5,5,17,3,5,2.96,16,1,0,1,1,13,0.15,3
122,1,0,0,1,0,0,0,0,0,0,0,0,14.75,8.5,6.5,3,5.12,2.96,14,0,0,1,1,8,0.25,2
123,1,0,0,1,0,0,0,0,0,0,0,0,23.5,4.5,30,4,5.25,2.96,17,1,4,1,1,26,0.17,3
124,1,0,0,1,0,0,0,0,0,0,0,0,10,1,12,3,5,2.94,15,0,0,3,2,12,0.1,3
125,1,0,0,1,0,0,0,0,0,0,0,0,46.5,35,15,4,5.12,3.14,15,1,0,1,1,9,0.67,3
126,1,0,0,0,1,0,0,0,0,0,0,0,15.5,10,5,3,5,4.1,12,0,0,1,1,26,0.25,3
127,1,0,0,0,0,1,0,1,0,0,0,0,24.5,8,25,4,5,3.2,17,0,0,1,1,19,0.15,7
128,1,0,0,0,0,1,0,1,0,0,0,0,24,12,18,3,5,3.33,16.5,0,0,1,1,13,0.15,3
129,1,0,0,0,0,1,0,1,0,0,0,0,23,4,30,4,5,3.2,19,0,0,1,1,26,0.1,5
130,1,0,0,0,0,0,1,0,0,0,0,0,28,20,10,3,5,3.01,12.5,1,1,1,1,15,0.27,3
131,1,0,0,1,0,0,0,1,0,0,0,0,32.5,12,33,4,5,3.08,16,0,0,1,1,13,0.25,3
132,1,0,0,1,0,0,0,1,0,0,0,0,23,10,20,3,5,3.2,16,0,1,1,1,52,0.52,3
133,1,0,0,0,0,1,0,0,0,0,0,0,17,4,20,3,5.62,3.27,15,0,0,1,1,26,0.52,4
134,1,0,0,0,0,1,0,1,0,0,0,0,30,5,42,4,5,3.15,16,1,0,1,1,26,0.12,5
135,1,0,0,0,0,0,1,1,0,0,0,0,21.5,8,19,4,5,2.86,11.5,0,0,1,1,26,0.2,2
136,1,0,0,1,0,0,0,0,0,0,0,0,32,23,10,4,5,2.77,17,0,0,1,1,26,0.25,3
137,1,0,0,1,0,0,0,0,0,0,0,0,8,0,10,3,5,NA,16,0,2,1,1,26,NA,2
138,1,0,0,0,0,1,0,1,0,0,0,0,35.5,15,35,3,5.1,3.26,17,0,0,1,1,26,0.25,6
139,1,0,0,0,0,1,0,0,0,0,0,0,31.5,15,25,4,5,3.2,16,1,2,1,1,13,0.37,5
140,1,0,0,0,0,1,0,1,0,0,0,0,33,25,10,3,5.25,3.18,17,1,0,1,1,13,0.25,5
141,1,0,0,0,0,1,0,0,0,0,0,0,22,15,8,3,5.5,3.24,13.5,0,3,1,1,NA,NA,4
142,1,0,0,1,0,0,0,0,0,1,0,0,23,13,12,4,5,2.72,14.5,0,0,1,1,4,0.25,3
143,1,0,0,1,0,0,0,1,0,1,0,0,23,10,18,4,5,2.72,15,1,1,1,1,26,0.17,5
144,1,0,0,0,1,0,0,1,0,1,0,0,8.5,0,13,2,5,4.15,11,0,3,1,1,13,0.1,4
145,1,0,0,0,1,0,0,1,0,1,0,0,12.5,4,11,3,5.05,4.03,11,0,4,1,1,4,0.2,4
146,1,0,0,0,1,0,0,1,0,1,0,0,9.5,0,15,2,5.5,3.99,10,0,0,1,1,26,0.12,4
147,1,0,0,0,1,0,0,1,0,1,0,0,13,5,10,3,5,3.88,10.5,0,3,1,1,26,0.25,4
148,1,0,0,1,0,0,0,1,0,0,0,0,17,5,16,4,5.3,3.02,16,0,0,1,1,26,0.25,3
149,1,0,0,0,1,0,0,1,0,0,0,0,9,3,8,2,5,4.25,11.5,0,0,1,1,26,NA,3
150,1,0,0,0,1,0,0,1,0,0,0,0,19,8,12,5,5,4.25,10.5,1,4,1,1,11,0.36,3
151,1,0,0,0,1,0,0,0,0,1,0,0,11.5,5,9,2,5,4.37,12,1,0,1,1,13,0.12,4
152,1,0,0,0,1,0,0,0,0,1,0,0,13,3,14,3,5,4.42,12.5,0,0,1,1,NA,0.25,4
153,1,0,0,0,0,1,0,0,0,1,0,0,48,20,46,5,5.25,NA,24,0,2,1,2,26,0.2,5
154,1,0,0,0,0,1,0,1,0,1,0,0,45.5,18,45,5,5.15,NA,24,0,3,1,1,11,0.15,4
155,1,0,0,0,0,0,1,0,0,1,0,0,15,4,16,3,5.42,2.82,15.5,1,0,1,1,13,0.12,2
156,1,0,0,1,0,0,0,0,0,1,0,0,18,10,10,3,5,2.73,12.5,0,0,1,1,4,0.17,3
157,1,0,0,0,0,1,0,1,0,1,0,0,21,2.5,27,5,5,2.98,16,0,1,1,1,6,0.15,3
158,1,0,0,0,0,0,1,0,0,1,0,0,20.5,14,7,3,5.06,2.76,10.5,1,3,1,1,4,0.25,2
159,1,0,0,0,0,0,1,0,0,1,0,0,20.5,11.5,10,4,5.05,2.81,11.5,1,3,1,1,13,NA,2
160,1,0,0,0,0,0,1,0,0,0,0,0,17.5,4.5,20,3,5,2.76,11.5,0,1,1,1,16,0.2,2
161,1,0,0,1,0,0,0,0,0,0,0,0,27.5,12,23,4,5,3.03,16,0,0,1,1,13,0.15,3
162,1,0,0,1,0,0,0,1,0,0,0,0,24,14,12,4,5,2.99,15.5,0,0,1,1,4,0.25,6
163,1,0,0,1,0,0,0,0,0,0,0,0,34,25,10,4,5.25,NA,15,1,3,1,1,26,0.25,4
164,1,0,0,1,0,0,0,1,0,0,0,0,18,10,8,4,5,3.16,18.5,0,4,1,1,52,0.1,5
165,1,0,0,1,0,0,0,0,0,0,0,0,24,10,20,4,5,3.54,16.5,1,0,1,1,13,0.5,4
166,1,0,0,0,0,1,0,1,0,0,0,0,NA,13,31,NA,5.05,3.27,18,0,2,1,1,26,0.15,5
167,1,0,0,0,0,0,1,1,0,0,0,0,33.5,12,35,4,5,NA,11.5,0,0,1,1,NA,0.32,2
168,1,0,0,0,0,0,1,1,0,0,0,0,12,5,10,2,5.75,3.72,10.5,1,2,1,1,26,0.15,1
169,1,0,0,1,0,0,0,0,0,0,0,0,35,3,60,2,5,3.01,15,0,0,1,1,39,NA,3
170,1,0,0,1,0,0,0,0,1,0,0,0,35,16,30,4,4.5,2.61,16,0,0,1,1,NA,0.25,4
171,1,0,0,1,0,0,0,0,1,0,0,0,16,10,6,3,4.75,2.93,14,1,0,1,1,26,0.5,2
172,1,0,0,0,1,0,0,0,1,0,0,0,15.5,6,13,3,4.25,5.1,10,1,3,1,1,13,0.25,5
173,1,0,0,0,0,1,0,0,1,0,0,0,19,10,12,3,4.75,4.19,12.5,0,0,1,1,4,0.25,8
174,1,0,0,0,0,1,0,0,1,0,0,0,24,5,30,4,4.5,NA,17,0,0,1,1,13,0.17,5
175,1,0,0,0,0,0,1,0,1,0,0,0,NA,NA,25,4,4.8,4.21,12,0,0,1,1,NA,0.15,2
176,1,0,0,1,0,0,0,0,1,0,0,0,36,12,40,4,4.37,2.56,16,0,2,1,1,26,0.15,4
177,1,0,0,1,0,0,0,0,1,0,0,0,29,15,20,4,4.25,2.74,16,0,0,1,1,39,0.17,3
178,1,0,0,1,0,0,0,0,1,0,0,0,29,10,30,4,4.25,2.89,16,0,2,1,1,26,0.1,3
179,1,0,0,1,0,0,0,0,1,0,0,0,21.25,6.5,23.5,3,4.37,2.75,16,0,0,1,1,9,0.1,3
180,1,0,0,0,1,0,0,0,1,0,0,0,15.5,0,25,3,4.5,4.67,10,0,0,1,1,7,0.25,5
181,1,0,0,0,0,1,0,0,1,0,0,0,19.5,3,25,4,4.6,2.95,17,1,3,1,2,9,0.15,5
182,1,0,0,0,0,1,0,0,1,0,0,0,21,6,22,4,4.5,NA,17,0,0,1,1,13,0.25,5
183,1,0,0,0,0,1,0,0,1,0,0,0,14,0,20,4,4.37,4.08,17,0,0,1,1,13,0.25,6
184,1,0,0,0,0,1,0,0,1,0,0,0,30.5,15,25,3,4.25,NA,17,0,2,1,1,13,NA,4
185,1,0,0,1,0,0,0,0,0,1,0,0,23.5,4,31,4,4.25,2.89,16,0,3,1,1,4,0.25,3
186,1,0,0,0,1,0,0,0,0,1,0,0,14,5,12,3,4.45,3.99,10.5,0,0,1,1,6,0.1,3
187,1,0,0,0,0,1,0,0,0,1,0,0,14.5,3,15,4,4.35,2.85,16,0,2,1,1,26,0.12,4
188,1,0,0,1,0,0,0,0,0,0,0,0,15.5,0,25,3,4.5,2.96,16,0,2,1,1,26,0.12,3
189,1,0,0,1,0,0,0,0,1,0,0,0,26.5,15,15,4,4.75,3.02,16,1,2,1,2,13,0.25,4
190,1,0,0,0,1,0,0,0,0,0,0,0,8,0,14,1,4.5,4.79,10,0,6,1,1,NA,0.25,2
191,1,0,0,0,1,0,0,0,0,0,0,0,5.5,0,7,2,4.5,4.63,11,0,3,1,1,4,0.25,3
192,1,0,0,0,0,1,0,0,0,0,0,0,23.25,10,20.5,3,4.5,3.2,11.5,0,0,1,1,26,0.25,4
193,1,0,0,0,0,1,0,1,0,0,0,0,15.5,5,15,3,4.95,3.2,11.5,0,0,1,1,26,NA,5
194,1,0,0,0,0,0,1,0,0,0,0,0,32.25,25,6.5,4,4.5,4.04,11.5,1,2,1,1,9,0.25,2
195,1,0,0,1,0,0,0,0,1,0,0,0,30,15,20,5,4.25,2.98,17,0,0,1,1,17,0.15,3
196,1,0,0,1,0,0,0,1,0,0,0,0,NA,26,6,NA,4.25,3.24,18,0,1,1,1,26,NA,4
197,1,0,0,1,0,0,0,0,0,0,0,0,30.5,20,15,3,4.5,2.96,16,0,1,1,1,26,0.2,3
198,1,0,0,1,0,0,0,0,0,0,0,0,14,0,20,4,4.8,3.02,15.5,0,5,2,2,52,0.25,3
199,1,0,0,1,0,0,0,0,0,0,0,0,27,15,18,3,4.25,2.96,17,0,0,1,1,26,0.15,3
200,1,0,0,1,0,0,0,0,0,0,0,0,18.5,5,15,6,4.5,3.4,13.5,0,0,1,1,13,0.25,3
201,1,0,0,1,0,0,0,0,0,0,0,0,38,30,10,3,4.25,3.11,17,0,1,1,1,14,0.05,3
202,1,0,0,1,0,0,0,0,0,0,0,0,16.5,0,27,3,4.25,3.07,18,0,0,1,1,13,0.22,4
203,1,0,0,1,0,0,0,0,0,0,0,0,50,35,20,5,4.5,3.03,16,0,0,1,1,13,0.27,3
204,1,0,0,1,0,0,0,0,0,0,0,0,20.5,0,35,3,4.75,2.96,17,0,1,1,1,13,0.25,3
205,1,0,0,0,1,0,0,0,0,0,0,0,6.5,0,7,3,4.25,4.57,12,0,1,1,1,NA,0.75,3
206,1,0,0,0,1,0,0,0,0,0,0,0,13.5,3,15,3,4.25,5.21,11,0,0,1,1,4,0.25,3
207,1,0,0,0,0,1,0,1,0,0,0,0,28,8,32,4,4.25,3.16,17,0,0,1,1,26,0.2,6
208,1,0,0,0,0,1,0,1,0,0,0,0,21.5,6,25,3,4.5,3.25,17,0,4,1,1,26,0.15,5
209,1,0,0,0,0,0,1,0,0,0,0,0,NA,4.5,20,NA,4.25,3.1,11.5,0,1,1,1,26,0.25,2
210,1,0,0,1,0,0,0,0,1,0,0,0,24,4,30,5,4.5,2.8,16,0,3,1,1,26,0.15,4
211,1,0,0,1,0,0,0,0,1,0,0,0,20.5,11,11,4,4.25,3.1,15,0,1,1,1,13,0.25,3
212,1,0,0,1,0,0,0,0,1,0,0,0,NA,0,15,NA,4.5,2.94,15,0,0,1,1,26,NA,3
213,1,0,0,1,0,0,0,0,0,1,0,0,23.5,3,35,3,4.25,2.84,15,1,0,1,2,NA,NA,5
214,1,0,0,1,0,0,0,1,1,0,0,0,23,8,22,4,4.25,3.06,17,0,2,1,1,8,0.15,3
215,1,0,0,1,0,0,0,1,1,0,0,0,17,4,18,4,4.25,3.07,15,0,0,1,1,13,0.75,3
216,1,0,0,1,0,0,0,1,0,0,0,0,20.5,2.5,30,3,4.25,NA,16,0,0,1,1,52,0.15,NA
217,1,0,0,0,1,0,0,0,1,0,0,0,23.5,18,3,4,4.25,4.42,10,0,1,1,1,26,0.27,4
218,1,0,0,0,1,0,0,0,0,0,0,0,9.5,0,15,2,4.25,4.73,10,0,2,1,1,26,0.12,3
219,1,0,0,0,1,0,0,0,1,0,0,0,10,0,12,4,4.25,4.33,10,1,2,1,1,13,0.25,3
220,1,0,0,0,1,0,0,0,1,0,0,0,14,0,20,4,4.25,4.42,10,0,0,1,1,13,0.4,3
221,1,0,0,0,0,1,0,1,1,0,0,0,85,60,40,5,4.75,NA,24,0,0,1,2,26,0.15,8
222,1,0,0,0,0,1,0,0,1,0,0,0,15,4.5,15,3,4.75,3.44,15,0,3,1,1,26,0.15,6
223,1,0,0,0,0,1,0,0,0,1,0,0,21.5,12,13,3,4.4,3.04,16,0,2,1,1,52,0.2,6
224,1,0,0,0,0,0,1,0,1,0,0,0,53,40,20,3,4.62,2.73,11.5,1,0,1,1,4,0.32,2
225,1,0,0,1,0,0,0,0,0,0,0,0,24,0,40,4,4.25,2.99,16.5,0,2,1,1,10,NA,4
